Aussie Name,Include,Picture ID,Final Code,English Name,Is Natural,Special Calories,Calories per 100g,Ingredients,Mean Perceived Calorie,SD Perceived Calorie,Mean Perceived immediate-edibility,SD Perceived immediate-edibility,Mean Perceived transformation,SD Perceived transformation,Mean Valence,SD Valence,Mean Familiarity,SD Familiarity,Mean Typicality,SD Typicality,Mean Discriminability,SD Discriminability,Mean Arousal,SD Arousal
almonds,1,pict_213,NF_053,almonds,1,,575,S,69.05,26.79,12.71,23.91,11.96,20.97,65.55,24.87,57.44,29.55,82.48,22.51,9.1,24.99,29.92,31.15
apple,1,pict_215,NF_055,apple-01,1,,43,F,10.88,12.36,6.48,13.93,3.78,12.95,75.38,18.56,79.95,24.81,93.3,21.63,0.7,1.85,35.1,27.78
apricot,1,pict_162,NF_002,apricot-01,1,,28,F,19.23,19.13,3.6,6.78,5.19,11.95,74.83,20.21,70.15,23.65,84.13,23.45,2.85,10.01,42.1,33.46
artichoke,1,pict_178,NF_018,artichoke,1,,22,V,16.04,16.36,55.93,35.38,4.82,10.68,61.24,31.48,58.05,28.5,81.54,29.18,7.84,18.8,15.35,29.37
asparagus,1,pict_170,NF_010,asparagus,1,,29,V,11.2,14.19,56.96,31.77,4,7.19,63.04,26.95,51.59,31.96,77.35,31.16,9.24,20.92,19.58,24.6
avocado,1,pict_172,NF_012,avocado,1,,231,F,26.72,21.67,30.19,31.23,7.21,13.65,52.83,20.12,19.83,24.52,57,34.95,36.73,33.36,23.4,29.09
bagel,1,pict_5,TF_005,bagel,0,,288,S,60.69,20.83,9.5,22.85,62.05,21.82,66.75,19.2,33.64,32.17,57.14,31.25,16.92,25.24,44.23,31.14
baked cod with carrots and green beans,1,pict_82,TF_082,baked cod with carrots and green beans,0,~,81,VP,51.81,19.74,18.54,30.62,68.29,15.39,63.8,26.06,57.6,31.17,71.95,24.45,22.4,24.1,36.19,27.77
baked lamb with potatoes,1,pict_1,TF_001,baked lamb with potatoes,0,,224,VM,66.78,16.41,4.4,12.52,72.96,15.97,67.54,28.53,43.6,26.45,68.8,24.96,24.57,24.55,55.8,31.4
banana,1,pict_173,NF_013,banana,1,,65,F,27.93,26.55,12.32,18.44,3.76,13.28,78.93,17.54,79.85,26.36,84.85,28.88,5,21.79,37.6,29.97
beetroots,1,pict_175,NF_015,beetroots,1,,19,V,14.52,15.74,42.55,36.97,6.8,15,42.73,23.29,25.95,27.58,54.81,32.2,20.42,26.13,17.41,26.96
blackberry,1,pict_223,NF_063,blackberry,1,,36,F,17.28,17.59,8.23,16.19,7.81,16.82,73.27,19.8,37.57,33.95,76.36,25.43,17.76,27.75,31.24,30.48
brie,1,pict_16,TF_016,brie,0,,319,A,74.65,20.26,11.23,20.31,53.38,36.75,58.43,26.17,61.86,27.25,71.3,26.41,6.3,10.94,49.67,33.97
broccoli,1,pict_176,NF_016,broccoli,1,,27,V,8.28,10.12,50.19,33.08,6.76,19.83,57.48,22.76,53.15,32.17,77.43,24.76,9.21,20.9,23.67,29.74
brownie,1,pict_11,TF_011,brownie,0,,421,D,84.76,14.74,8.6,23.97,70.42,17.63,65.64,24.51,64.8,28.59,59.59,30.36,22.14,25.24,54.15,28.51
brussel sprouts,1,pict_181,NF_021,brussel sprouts,1,,37,V,9.62,9.43,49.91,29.12,3.04,6.48,56.81,29.51,40.05,36.62,74.63,32.92,5.73,14.22,20.9,27.58
cabbage,1,pict_185,NF_025,savoy cabbage-02,1,,27,V,9.44,17.02,23.45,24.58,3.81,9.7,71.35,17.98,65.07,31.04,70.73,32.13,6.29,13.78,14.95,18.97
cannoli,1,pict_22,TF_022,cannoli,0,,368,D,91.9,12.23,16.69,32.71,77.88,23.5,75,28.93,32.56,31.01,76.12,25.84,21.6,34.22,71.8,33.72
capsicum,1,pict_236,NF_076,pepper-02,1,,27,V,19.15,16.83,48.29,26.57,3.11,9.55,63.96,27.38,62.25,32.61,77.62,27.99,0.12,0.42,30.8,28.94
carrot,1,pict_179,NF_019,carrot,1,,35,V,6.56,8.77,21.72,28.21,3.96,8.39,71.04,24.18,87.85,16.22,84.2,27.47,7.35,21.78,19.11,27.32
cauliflower,1,pict_182,NF_022,cauliflower,1,,25,V,9.6,10.09,57.5,30.51,6.54,17.4,58.3,30.53,53.61,35.83,80.59,28.35,8.8,22.04,27.81,30.85
celery,1,pict_252,NF_092,celery-02,1,,20,V,5.63,6.94,46,25.11,2.22,5.84,62.9,20.8,65.35,27.93,75.71,32.32,10.26,18.51,20.17,27.56
cereal,1,pict_28,TF_028,cereal,0,,367,S,50.16,26.31,15.04,18.35,44.68,29.7,52.64,25.34,44.38,33.56,60.7,26.94,36.85,39.52,32.57,23.79
cherry,1,pict_187,NF_027,cherry,1,,38,F,19,19.98,4.1,6.53,1.05,2.58,79.93,18.23,56,33.84,87.71,23.64,2.71,12.82,41.6,28.91
chestnut,1,pict_180,NF_020,chestnut,1,,165,S,31.76,31.49,40.96,30.23,9.24,16.12,59.11,23.95,45.41,32.22,69.15,31.72,19.45,27.73,26.84,29.97
chilli,1,pict_233,NF_073,chilli pepper-01,1,,26,V,17.29,20.01,40.48,34.17,4.9,13.01,63.64,23.05,47.6,31.22,85.08,21.38,5.76,15.67,35.86,29.94
chocolate bar,1,pict_33,TF_033,chocolate bar-01,0,,485,D,82.29,15.96,5.19,18.41,60.32,31.21,77.13,22.64,81.27,24.64,88.64,19.01,2.84,9.95,63.54,27.61
chocolate chip cookies,1,pict_10,TF_010,chocolate chip cookies,0,,375,D,84.25,13.88,13.27,24.41,63.25,24.19,71.6,17.39,67.64,27.5,85.39,14.62,2.74,8.51,66.4,27.57
chocolate pralines,1,pict_35,TF_035,chocolate pralines,0,,485,D,90.81,11.84,8,18.87,71.77,24.82,79.92,22.74,60.95,28.98,85.38,18.38,7.88,21.35,50.91,32.81
chocolate pudding,1,pict_18,TF_018,chocolate pudding,0,,117,D,95.04,7.25,12.58,30.9,76.04,15.83,77.21,23.59,45,29.81,65.8,18.54,11.32,20.56,60.45,35.72
cinnamon,1,pict_177,NF_017,cinnamon,1,,247,S,28.96,26.35,47.68,30.92,21.96,23.12,55.25,25.76,37.85,30.51,61.21,29.48,31.25,35.17,32.88,28.76
cinnamon sroll,1,pict_21,TF_021,cinnamon roll,0,,273,D,89.95,17.5,21.71,36.79,71.92,21.8,55.38,22.94,37.21,27.87,48.2,29.21,24.77,27.55,43.1,31.84
clams,1,pict_259,NF_099,clams,1,,86,P,35.33,23.88,52.32,33.05,21.64,18.35,71.05,26.48,41.63,24.74,83.15,21.29,11.15,18.07,36.38,35.76
coconut,1,pict_190,NF_030,coconut,1,,364,F,35.38,26.38,26.88,30.19,7,14.06,76.24,23.7,34.05,30.1,80.14,23.98,5.35,21.74,49.45,29.24
coffee beans,1,pict_29,TF_029,coffee beans,0,,1,S,35.58,23.89,72.19,31.74,26.8,23.29,69,26.55,49.69,41.01,79.67,27.83,7.04,20.79,35.35,35.05
cooked ham,1,pict_116,TF_116,cooked ham,0,,215,M,61.4,18.62,27.31,25.83,48.62,30.73,69.86,22.33,67.27,26.68,85.6,13.62,2.21,4.61,35.77,28.9
cooked prawn,1,pict_60,TF_060,shrimp,0,,101,F,47.85,24.55,51.54,30.84,20.92,23.69,51.77,28.73,39.6,29.51,57.83,37.56,10.2,17.19,36.75,28.07
corncob,1,pict_211,NF_051,corncob,1,,353,V,28.55,19.89,45.42,27.35,6,15.28,69.75,21.43,49.81,32.26,84.55,26.56,5.4,21.74,40.65,34.12
cracker,1,pict_43,TF_043,cracker,0,,483,S,63.86,17.44,5.7,14.91,49.48,29.79,57.3,16.6,51.95,25.58,71.14,28.92,5.9,21.76,33.54,29.6
cream donuts,1,pict_14,TF_014,cream donuts,0,,400,D,94.92,6.74,16,30.95,68.23,18.45,78.29,18.16,56.2,29.45,88.25,10.72,6.19,19.85,60.4,30.11
croissant,1,pict_37,TF_037,cornet-02,0,,406,S,76.95,17.03,4.42,6.98,65.44,24.01,75.5,23.18,69.35,30.08,81.17,28.75,3.4,7.29,53.5,34.47
cucumber,1,pict_186,NF_026,cucumber,1,,14,V,8.04,12.43,25.33,27.28,3.5,5.43,66.95,26.47,72.68,28.35,83.55,23.23,1.63,5.24,21.76,28.71
cupcake,1,pict_50,TF_050,cupcake,0,,370,D,96.07,6.23,15.96,30.18,78.6,22.15,79.8,22.13,55.97,31.35,72.86,22.33,1.76,4.36,54.78,37.21
dates,1,pict_192,NF_032,dates,1,,253,F,50.19,30.75,6.33,14.19,16.75,25.48,46.3,23.06,33,27.01,73.1,27.09,18.16,30.55,28,30.13
donut,1,pict_32,TF_032,donuts,0,,418,D,93.89,9.86,9,22.74,71.15,24.12,69.59,25.35,34.88,31.89,56.9,33.6,13.7,26.31,64.56,27.62
egg,1,pict_255,NF_095,egg,1,,128,A,50.6,22.62,28.56,23.97,3.4,6.78,66.3,22.95,84.05,23.12,82.85,26.25,7.12,19.2,22.4,25.35
eggplant,1,pict_219,NF_059,eggplant,1,,18,V,11,13.49,48.2,28.71,3.13,6.57,67.45,23.14,77.55,19.09,77.48,22.42,6.4,21.98,30.05,29.5
fennel,1,pict_196,NF_036,fennel,1,,9,V,9.96,11.27,41.19,28.25,3.84,10.75,69.29,26.46,55.04,29.13,64.65,35.41,6.18,14.9,24.76,29.41
figs,1,pict_195,NF_035,figs,1,,47,F,25.24,22.09,13.56,24.23,5.8,15.49,63.29,20.8,36.97,32.58,65.32,34.55,15.45,27.6,31.19,28.94
frankfurter and provolone salad,1,pict_74,TF_074,frankfurter and provolone salad,0,*,252,VMA,47.44,19.43,15.86,15.43,37.29,24.47,65.22,26.12,49.44,26.59,56.48,33.03,21,16.86,40.54,31.65
fried calamari,1,pict_20,TF_020,fried squid,0,~,151,P,80.4,20.66,16.24,28.61,60.54,16.36,56.58,25.94,42.25,28.87,61.64,26.56,35.71,27.4,49.76,31.65
fried zucchini,1,pict_159,TF_159,fried zucchini with basil,0,,96,V,33.62,23.05,11.56,24.61,45.5,24.23,74,17.25,61.08,30.41,84.96,20.67,5.12,11.68,41.96,27.03
fries,1,pict_94,TF_094,french fries,0,,137,R,75.35,23.96,14.77,24.74,41.96,24.86,53.5,30.93,50.37,30.72,69.8,27.38,9.05,22.13,41.35,35.11
